Product Name,Price
MAHARAJA WHITELINE Odacio Plus JX1-157 550 W Juicer Mix...,"₹2,999"
KENT Atta 16010 Bread Maker,"₹7,999"
Pigeon FAVOURITE Electric Kettle,₹599
Bajaj GX1 500 W Mixer Grinder,"₹2,099"
Prestige PIC 20.0 1600 W Induction Cooktop,"₹1,699"
"Butterfly Arrow 500 W Mixer Grinder (3 Jars, Grey)","₹1,799"
Butterfly Rapid 4 Jar 750 watts 750 W Juicer Mixer Grin...,"₹2,999"
Elica WDFL 606 HAC MS NERO Auto Clean Wall Mounted Chim...,"₹11,499"
"EVEREADY MG500i 500 W Mixer Grinder (3 Jars, White)","₹1,599"
Glun 50 kg Hook Type Digital Led Screen Portable Luggag...,₹349
"Sansui Pro Home Allure 500 W Mixer Grinder (3 Jars, Bla...","₹1,849"
Inalsa Inox 1000 Plus 1000 W Food Processor,"₹11,399"
Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bot...,₹799
HAVELLS 3 JAR MIXER GRINDER Aspro 500 W Mixer Grinder (...,"₹2,525"
Fabiano Tulip FAB-MG-03 500 Watts Mixer Grinder (3 Jars...,"₹1,349"
USHA FP 3810 1000 W Food Processor,"₹8,781"
Prestige Atlas 1.0 Induction Cooktop,"₹1,499"
"BAJAJ 3 Jar Pluto 500 W Mixer Grinder (3 Jars, White, B...","₹2,099"
"Prestige Atlas Plus 750 W Juicer Mixer Grinder (4 Jars,...","₹3,429"
Inalsa Nutri Fry Air Fryer,"₹5,495"
"Lifelong LLCMB02 500 W Mixer Grinder (White, 3 Jars) & ...","₹1,799"
Flipkart SmartBuy PowerChef Classico 500 W Mixer Grinde...,"₹1,629"
Pigeon Favourite IC 1800 W Induction Cooktop,"₹1,449"
Elica WD TFL HAC 90 MS NERO with Installation Kit Inclu...,"₹16,499"
Prestige PKOSS 1.8 Electric Kettle,₹849
FIREFLY HUB Digital Kitchen Weighing Machine Multipurpo...,₹299
Butterfly Rapid Plus Wet Grinder with Coconut Scraper (...,"₹3,799"
Elica 60 cm 1100 m3/hr Auto Clean Wall Mounted Chimney,"₹13,990"
Morphy Richards Superb Icon 750 W Mixer Grinder (4 Jars...,"₹3,199"
Sansui ProHome Colossus 1000 W Juicer Mixer Grinder (4 ...,"₹3,499"
cello ELITE + MIXER GRINDER WITH 4 JAR 500 Mixer Grinde...,"₹2,349"
Elica WDFL 906 HAC MS NERO Auto Clean Wall Mounted Chim...,"₹12,999"
Prestige PGMFB Grill,"₹1,199"
FIREFLY HUB Digital Kitchen Weighing Machine Multipurpo...,₹298
JKR Enterprise JKR-2019 180 W Electric Whisk,₹597
Flipkart SmartBuy CFXB15 Electric Rice Cooker,"₹1,399"
Sansui ProHome SMG03 750 W Juicer Mixer Grinder (4 Jars...,"₹2,999"
Greenchef Kettle1.5L Electric Kettle,₹549
"BAJAJ GX8 Gx8 750 W Mixer Grinder (3 Jars, White)","₹3,199"
Sansui Deluxe Electric Rice Cooker with Steaming Featur...,"₹1,999"
